plugin,kind,name,source_path,source_sha256,lines,codex_projected_name,codex_discovery_0_154_0,strict_yaml,portability_flags_heuristic,declared_tools,referenced_capabilities_heuristic,existing_relative_links
design,agent,copy-critic,plugins/design/agents/copy-critic.md,69efd001fb67f3f0cac2cddf23ee7f6c392805918171696abc16c01fec6767c8,175,,not-installed-by-bridge,valid,,"Read, Write, Bash, Glob, Grep",design:critic,
design,agent,design-critic,plugins/design/agents/design-critic.md,2cf19314235e42d5d0c2213776593ab881c5eea2702034bb298c265f945a8e0a,217,,not-installed-by-bridge,valid,claude_paths; agent_orchestration; maude_cli,"Read, Write, Bash, Glob, Grep",design:critic; design:edit; design:new,
design,agent,design-system-completeness-critic,plugins/design/agents/design-system-completeness-critic.md,dfddd40ee9aa6fdaafb8508fb86e013e0963b893a0df9ad1b7dcd9231e1b5261,282,,not-installed-by-bridge,valid,,"Read, Bash, Glob, Grep",design:critic; design:edit; design:setup-ds,
design,agent,design-system-keeper,plugins/design/agents/design-system-keeper.md,d2b7efd4c8ff4982a16cdd3124aa371e65880ef161b0ee3515bfc5f96a206624,555,,not-installed-by-bridge,invalid,agent_orchestration; kgai; maude_cli,,design:edit; design:new; design:smoke; flow:kgai-backend,
design,agent,draw-agent,plugins/design/agents/draw-agent.md,00fcc38b208a585b4a23a2896e32a023c8a84d899fcba01d9c7675c0882b44ee,324,,not-installed-by-bridge,valid,claude_paths; agent_orchestration; maude_cli,"Read, Write, Bash, Glob, Grep",design:draw; design:edit; design:new,
design,agent,draw-critic,plugins/design/agents/draw-critic.md,eb68f9842aa3766fcaf58f42476f4f17d22661de7c1067d8a089683ea4243918,232,,not-installed-by-bridge,valid,claude_paths; agent_orchestration; maude_cli,"Read, Write, Bash, Glob, Grep",design:critic; design:draw,
design,agent,footage-analyst,plugins/design/agents/footage-analyst.md,b21f4936f403360c44a326e64b9b84fadc2ce1d1432d5c725857428f000fa040,103,,not-installed-by-bridge,invalid,,,design:reel; design:video-analyze,
design,agent,footage-director,plugins/design/agents/footage-director.md,c4fd42967c0209a70f49494a7352c28d1c2c888218b14000b7e75a096cb92956,82,,not-installed-by-bridge,invalid,,,design:reel,
design,agent,frontend-critic,plugins/design/agents/frontend-critic.md,982f590627bf8af61c79f10d42c7c83bb002e21c99eff97a0eb65494b897bff6,195,,not-installed-by-bridge,valid,,"Read, Write, Bash, Glob, Grep",design:critic,
design,agent,graphic-design-critic,plugins/design/agents/graphic-design-critic.md,cd18b4d4297e256d80011bdd2a737fd16f25e68ec841468a18e86aec08293e6d,158,,not-installed-by-bridge,valid,,"Read, Write, Bash, Glob, Grep",design:critic,
design,agent,info-architecture-critic,plugins/design/agents/info-architecture-critic.md,231bbd95942077540259518959e9f3e11ecd33c59e0b0f874811bf71fe891d5a,174,,not-installed-by-bridge,valid,,"Read, Write, Bash, Glob, Grep",design:critic,
design,agent,media-generation-director,plugins/design/agents/media-generation-director.md,43ecbbafc652a2b70dcfaede5d69b751232361548956b7eace2b7ac07d790345,87,,not-installed-by-bridge,invalid,question_ui; maude_cli,,design:edit; design:reel,
